code,description,freq (nearest 100)
160504008,Marital state unknown (finding),1139100
92391000000108,British or mixed British - ethnic category 2001 census (finding),713000
Y0529,Imported notes,508100
125681006,Single person (finding),414200
87915002,Married (finding),373700
21251000000106,New registration check done and claimable (finding),336700
494131000000105,White British - ethnic category 2001 census (finding),309700
195967001,Asthma (disorder),206000
127785005,"Administration of substance to produce immunity, either active or passive (procedure)",186200
92411000000108,Other White background - ethnic category 2001 census (finding),184300
196411000000103,Transfer-degraded record entry (record artifact),180700
184229000,Notes summary on computer (finding),152900
14734007,Administrative procedure (procedure),151000
72313002,Systolic arterial pressure (observable entity),125400
315570003,Main spoken language English (finding),122100
103693007,Diagnostic procedure (procedure),114500
Y3713,Imported summary notes,113100
59621000,Essential hypertension (disorder),105500
315236000,White British (ethnic group),104500
271310000,Radiology/physics in medicine (procedure),96500
20135006,Screening procedure (procedure),86700
Y0de6,Textual Problem,85000
110751000000108,Indian or British Indian - ethnic category 2001 census (finding),79300
292954005,Penicillin adverse reaction (disorder),78600
71388002,Procedure (procedure),75500
416608005,Drug therapy (procedure),73600
160303001,Family history of diabetes mellitus (situation),73500
171149006,Screening for malignant neoplasm of cervix (procedure),73400
171164006,Cervical smear due (finding),71000
715051000000108,Hypertension screening administration (record artifact),70000
160357008,Family history: Hypertension (situation),69600
417662000,History of clinical finding in subject (situation),68200
27113001,Body weight (observable entity),64800
38341003,"Hypertensive disorder, systemic arterial (disorder)",63200
14679004,Occupation (occupation),62300
248333004,Standing height (observable entity),60300
275104002,Family history of stroke (situation),59000
77248004,Infection control procedure (procedure),58800
57177007,Family history with explicit context (situation),56800
Y0384,Smear Under GMS,55200
282100009,Adverse reaction caused by substance (disorder),54600
160377001,Family history: Asthma (situation),53400
266919005,Never smoked tobacco (finding),52000
182817000,Drug prescription (situation),51500
1091811000000102,Diastolic arterial pressure (observable entity),50900
364712009,Laboratory test observable (observable entity),49900
60621009,Body mass index (observable entity),49700
160573003,Alcohol intake (observable entity),48200
160476009,Social / personal history observable (observable entity),47800
714311000000108,Patient recall administration (record artifact),47700
