code,description,freq (nearest 100)
Y0529,Imported notes,7800
Y0de6,Textual Problem,3200
195967001,Asthma (disorder),3000
711301000000108,Influenza vaccination invitation short message service text message sent (finding),2800
184229000,Notes summary on computer (finding),2400
450759008,Framingham coronary heart disease 10 year risk score (observable entity),1900
1022441000000101,Full blood count (observable entity),1900
59621000,Essential hypertension (disorder),1700
72313002,Systolic arterial pressure (observable entity),1700
1091811000000102,Diastolic arterial pressure (observable entity),1700
27113001,Body weight (observable entity),1700
196411000000103,Transfer-degraded record entry (record artifact),1500
248333004,Standing height (observable entity),1500
60621009,Body mass index (observable entity),1500
165581004,International normalized ratio (observable entity),1400
737041000,Invitation by telephone for influenza vaccination (procedure),1400
266919005,Never smoked tobacco (finding),1300
1000971000000107,Urea and electrolytes level (observable entity),1300
270425006,Letter from specialist (procedure),1200
182836005,Review of medication (procedure),1200
