snomed_concept_id,c,description
716186003,7552400,No known allergy (situation)
416098002,2088100,Allergy to drug (finding)
161611007,1504100,History of non-drug allergy (situation)
419076005,1149300,Allergic reaction (disorder)
292954005,926500,Penicillin adverse reaction (disorder)
91936005,910200,Allergy to penicillin (finding)
609328004,732500,Allergic disposition (finding)
1013271000006101,646700,
413174003,472400,Statin not tolerated (situation)
62014003,448900,Adverse reaction caused by drug (disorder)
414285001,362500,Allergy to food (finding)
282100009,318400,Adverse reaction caused by substance (disorder)
91934008,311500,Allergy to nut (finding)
41291007,297900,Angioedema (disorder)
407564000,295100,Angiotensin converting enzyme inhibitor not tolerated (situation)
1071581000006109,285500,
1100731000006105,277000,
408357000,270100,Drug side effect - acceptable to patient (finding)
88171000000109,263600,Aspirin not tolerated (situation)
292967008,261500,Amoxycillin adverse reaction (disorder)
1027501000006109,220800,
91930004,192800,Allergy to edible egg (finding)
738069006,190600,Intolerance to cow milk (finding)
293433001,188500,Adverse reaction caused by simvastatin (disorder)
91935009,186900,Allergy to peanut (finding)
88201000000105,186900,Beta blocker not tolerated (situation)
1038521000006103,183500,
1055111000006106,175400,
293504000,172500,Ramipril adverse reaction (disorder)
292939004,170100,Trimethoprim adverse reaction (disorder)
419056004,168700,Erythromycin adverse reaction (disorder)
1030241000006106,164700,
15911003,154400,Cow's milk protein sensitivity (disorder)
1115381000006101,150600,
1039061000006107,147400,
232346004,140500,Allergy to cat dander (finding)
1082471000006109,139800,
1073551000006100,139500,
218613000,138400,Adverse reaction caused by ibuprofen (disorder)
1664791000006103,131800,
293500009,128000,Angiotensin-converting-enzyme inhibitor adverse reaction (disorder)
1051851000006102,126800,
232350006,126800,Allergy to dust mite protein (finding)
1061221000006100,123200,
1040411000006107,123100,
196471000000108,116900,Transfer-degraded non-drug allergy (record artifact)
1058671000006104,116500,
293432006,114600,3-Hydroxy-3-methylglutaryl coenzyme A reductase inhibitor adverse reaction (disorder)
1134981000006106,114200,
182842009,110100,Doctor stopped drugs - side effect (situation)
39579001,106900,Anaphylaxis (disorder)
1060611000006104,106700,
292044008,105100,Aspirin adverse reaction (disorder)
292419005,104800,Beta-adrenoceptor blocking drug adverse reaction (disorder)
407565004,102900,Angiotensin II receptor antagonist not tolerated (situation)
281647001,102200,Adverse reaction (disorder)
1024721000006102,101600,
232349006,97700,Allergy to house dust (finding)
213024000,95500,Allergic reaction caused by insect bite (disorder)
1092761000006108,95000,
292964001,92200,Flucloxacillin adverse reaction (disorder)
292460003,88100,Amlodipine adverse reaction (disorder)
1010061000006108,81300,
293049008,81000,Doxycycline adverse reaction (disorder)
1098921000006102,80700,
293586001,80500,Allergy to aspirin (finding)
292940002,80400,Nitrofurantoin adverse reaction (disorder)
292055008,79800,Codeine adverse reaction (disorder)
1080221000006108,77500,
1024211000006100,75300,
418370000,74100,Atenolol adverse reaction (disorder)
218620007,73700,Adverse reaction caused by naproxen (disorder)
1093591000006103,71400,
300909004,71100,Allergic reaction caused by wasp sting (disorder)
300916003,70800,Allergy to latex (finding)
269722001,69100,Adverse reaction caused by salicylate (disorder)
1058631000006102,67300,
1072991000006106,66000,
88191000000108,64400,Clopidogrel not tolerated (situation)
300910009,63400,Allergy to pollen (finding)
292287002,62700,Amitriptyline adverse reaction (disorder)
1069651000006106,59400,
217673009,58900,Toxic reaction caused by wasp sting (disorder)
1058981000006109,58900,
1043731000006103,55900,
717234006,55200,Allergy to animal protein (finding)
1019931000006106,53800,
161614004,53600,History of multiple allergies (situation)
293507007,51400,Enalapril adverse reaction (disorder)
1061331000006105,50500,
196461000000101,49800,Transfer-degraded drug allergy (record artifact)
235719002,48900,Intolerance to food (finding)
1016641000006103,48900,
1049451000006104,47100,
1084881000006101,46700,
1038931000006107,46500,
218614006,46100,Adverse reaction caused by diclofenac sodium (disorder)
419901001,45000,Non-steroidal anti-inflammatory drug adverse reaction (disorder)
293029004,44800,Metronidazole adverse reaction (disorder)
282095007,43700,Allergic reaction caused by bee sting (disorder)
1025911000006109,42500,
1023251000006101,42200,
294477004,41800,Allergy to trimethoprim (finding)
12481000132103,40400,History of biological substance allergy (situation)
418689008,39800,Allergy to grass pollen (finding)
1085301000006102,39700,
419271008,39600,Allergy to dog dander (finding)
1099171000006107,39100,
1022481000006102,38200,
292042007,38100,Adverse reaction caused by paracetamol (disorder)
1039241000006103,37300,
300913006,36100,Allergy to shellfish (finding)
1012191000006100,36100,
91931000,35900,Allergy to erythromycin (finding)
413561002,35800,Anticoagulation not tolerated (situation)
182864000,35100,Drug not taken - side-effects (situation)
292949001,34700,Ciprofloxacin adverse reaction (disorder)
407590002,34700,Angiotensin II receptor antagonist adverse reaction (disorder)
1033381000006102,34600,
1075841000006104,34500,
88181000000106,34000,Warfarin not tolerated (situation)
1013421000006103,33900,
1082951000006105,33900,
219084006,33600,Adverse reaction to vaccine product containing Clostridium tetani antigen (disorder)
293203005,33400,Metformin adverse reaction (disorder)
1051991000006100,33300,
292997000,33100,Cephalexin adverse reaction (disorder)
1075061000006107,32700,
1044121000006100,32500,
441831003,31900,Gluten sensitivity (finding)
1115971000006103,30500,
1076191000006107,30300,
93419003,30300,Contact dermatitis caused by nickel (disorder)
30451004,30100,Contact dermatitis caused by detergent (disorder)
170709001,30100,Epilepsy drug side effect (finding)
190447002,30000,Steroid-induced diabetes (disorder)
417532002,29900,Allergy to fish (finding)
1062011000006105,29800,
1134991000006109,28700,
432807008,28700,Pollen-food allergy (finding)
292303004,28500,Sertraline adverse reaction (disorder)
1086141000006107,27900,
1010541000006102,27900,
1077091000006109,27000,
1133941000006103,26900,
293435008,26600,Adverse reaction caused by pravastatin (disorder)
1135201000006108,26200,
292425009,26000,Bisoprolol adverse reaction (disorder)
292933003,25900,Clarithromycin adverse reaction (disorder)
293455009,25800,Bendrofluazide adverse reaction (disorder)
1115961000006105,25700,
293502001,25600,Lisinopril adverse reaction (disorder)
1062891000006109,25200,
293344008,25100,Warfarin adverse reaction (disorder)
170840001,25100,Allergy drug side effect (finding)
302320003,25000,Milk-free diet (finding)
1021681000006107,24600,
1026431000006102,24400,
1136501000006101,24300,
467081000006105,23900,
420174000,23800,Allergy to wheat (finding)
109991000119100,23700,Allergy to antibiotic (finding)
1100581000006104,23500,
21782001,23200,Drug-induced constipation (disorder)
294647003,22900,Allergy to vaccine product containing Influenza virus antigen (finding)
1100711000006104,22900,
196011000000109,22500,Dipyridamole not tolerated (situation)
1121371000006107,21600,
414678008,20900,Metformin not tolerated (situation)
1040531000006102,20800,
1116371000006105,20500,
1055141000006105,20500,
291000119100,20500,Contact dermatitis caused by chemical (disorder)
1040471000006103,20400,
1030811000006106,20400,
292920009,19900,Antibacterial drug adverse reaction (disorder)
1011921000006109,19900,
91937001,19700,Allergy to seafood (finding)
1075151000006109,19500,
16228891000119105,19300,Allergic contact dermatitis caused by metal (disorder)
1094841000006106,19000,
1028901000006101,18900,
28926001,18700,Eruption caused by drug (disorder)
1031651000006102,18600,
1103701000006109,18500,
1064621000006101,18400,
88273006,18300,Iatrogenic hypothyroidism (disorder)
1026241000006106,17700,
292440006,17600,Propranolol adverse reaction (disorder)
700094005,17300,Intolerance to milk (finding)
293057006,17200,Chloramphenicol adverse reaction (disorder)
91941002,17100,Food anaphylaxis (disorder)
1134201000006109,17100,
1144231000006102,17000,
1086621000006107,16900,
1018301000006107,16900,
1013451000006107,16700,
232347008,16600,Allergy to animal dander (finding)
293331003,16600,Anticoagulant adverse reaction (disorder)
1078941000006100,16600,
1751201000006103,16500,
200895000,16000,Ingestion dermatitis caused by food (disorder)
1084171000006107,15900,
1013251000006106,15900,
293104008,15800,Adverse reaction to vaccine product (disorder)
1011841000006107,15800,
1090721000006101,15600,
1114861000006101,15400,
294478009,15400,Allergy to nitrofurantoin (finding)
293058001,15300,Sulfamethoxazole + trimethoprim adverse reaction (disorder)
280451000006109,15200,
170760000,15100,Diabetic drug side effects (finding)
1121411000006108,15100,
1604361000006106,15000,
1602771000006106,14900,
1084081000006109,14600,
293056002,14200,Tetracycline adverse reaction (disorder)
115665000,14000,Atopy (finding)
1131341000006101,14000,
4223005,13700,Parkinsonism caused by drug (disorder)
292679006,13400,Allopurinol adverse reaction (disorder)
199691000000101,13400,History of anaphylactic shock (situation)
1116541000006106,13100,
292133002,13000,Metoclopramide adverse reaction (disorder)
419263009,12800,Allergy to tree pollen (finding)
1051021000006101,12700,
1121791000006107,12700,
609550002,12700,History of angiotensin converting enzyme inhibitor pseudoallergy (situation)
292307003,12500,Fluoxetine adverse reaction (disorder)
1604311000006108,12400,
292968003,12400,Ampicillin adverse reaction (disorder)
91938006,12200,Allergy to strawberry (finding)
293032001,12100,Sulfonamide adverse reaction (disorder)
1048211000006108,12100,
416794009,12100,Bisphosphonates not tolerated (situation)
1011661000006105,12000,
293052000,11500,Oxytetracycline adverse reaction (disorder)
170575006,11500,Cardiac drug side effects (finding)
1019661000006109,11500,
219076007,11400,Adverse reaction to vaccine product containing Bacillus Calmette-Guerin antigen (disorder)
402390008,11400,Anaphylaxis caused by ingested food (disorder)
1074421000006108,11300,
1052031000006106,11300,
1060721000006104,11300,
1077671000006100,11300,
293023003,11300,Clindamycin adverse reaction (disorder)
292257008,11200,Azathioprine adverse reaction (disorder)
293095001,11200,"Vaccine, immunoglobulins and antisera adverse reaction (disorder)"
1056001000006102,11200,
419253001,11100,Adverse reaction caused by clopidogrel (disorder)
1095461000006106,11000,
473011001,10800,Allergic condition (finding)
1034221000006106,10500,
1010521000006109,10500,
1079291000006105,10500,
680131000000102,10400,"Allergy, unspecified (disorder)"
1117161000006104,10400,
1052161000006103,10200,
292229001,10200,Methotrexate adverse reaction (disorder)
1047301000006101,10000,
1085471000006100,9900,
416093006,9800,Allergic reaction caused by drug (disorder)
849311000000104,9800,Alendronic acid not tolerated (situation)
1017831000006109,9700,
714035009,9600,Allergy to soy (disorder)
292994007,9600,Cephalosporin adverse reaction (disorder)
1127871000006105,9600,
1105161000006105,9500,
1128981000006100,9500,
1058571000006103,9400,
170617002,9400,Respiratory drug side effect (finding)
473105001,9400,History of allergic reaction to hair dye (situation)
292059002,9400,Morphine adverse reaction (disorder)
912861000000104,9300,Novel oral anticoagulant not tolerated (situation)
292325005,9200,Carbamazepine adverse reaction (disorder)
1112951000006102,9200,
1071151000006106,9100,
293472002,9100,Spironolactone adverse reaction (disorder)
238570009,9100,Elastoplast contact dermatitis (disorder)
234171009,9100,Drug-induced hypotension (disorder)
420113004,9000,Adverse reaction to vaccine product containing Influenza virus antigen (disorder)
985331000000105,9000,Apixaban not tolerated (situation)
292858009,9000,Quinine adverse reaction (disorder)
294567003,9000,Allergy to metronidazole (finding)
1105211000006101,9000,
1085481000006102,8800,
1019671000006102,8800,
294631000,8800,"Vaccine, immunoglobulins and antisera allergy (disorder)"
1030991000006109,8800,
1107391000006106,8700,
1134341000006104,8700,
292854006,8700,Chloroquine adverse reaction (disorder)
293582004,8700,Allergy to analgesic (finding)
846321000000102,8600,Dabigatran not tolerated (situation)
292054007,8600,Buprenorphine adverse reaction (disorder)
293539000,8600,Dipyridamole adverse reaction (disorder)
1023401000006104,8500,
293003004,8400,Cefaclor adverse reaction (disorder)
1013401000006108,8400,
1026581000006102,8300,
293170000,8300,Prednisolone adverse reaction (disorder)
985351000000103,8200,Rivaroxaban not tolerated (situation)
1115801000006103,8200,
7998009,8200,Poisoning caused by bee sting (disorder)
1713491000006104,8100,
292454003,8000,Nifedipine adverse reaction (disorder)
1024131000006100,7900,
269721008,7900,"Adverse reaction caused by analgesics, antipyretics and antirheumatics (disorder)"
1104061000006105,7900,
1089981000006109,7900,
1013281000006103,7800,
226199006,7700,Cow's milk protein-free diet (finding)
232348003,7700,Allergy to feather (finding)
1028611000006109,7700,
292398004,7600,Prochlorperazine adverse reaction (disorder)
89322006,7600,Urticaria medicamentosa (disorder)
1011701000006102,7600,
293377007,7500,Iodine adverse reaction (disorder)
1069731000006108,7500,
1097051000006106,7400,
413175002,7400,Calcium channel blocker not tolerated (situation)
1062761000006106,7400,
1035731000006103,7400,
1051831000006109,7400,
1011911000006101,7400,
1014861000006109,7300,
293962009,7300,Allergy to beta adrenergic receptor antagonist (finding)
294594004,7300,Allergy to sulfamethoxazole and trimethoprim (finding)
292452004,7200,Calcium-channel blocker adverse reaction (disorder)
1087621000006109,7200,
1074611000006103,7200,
293552005,7100,Isosorbide mononitrate adverse reaction (disorder)
293196003,7000,Gliclazide adverse reaction (disorder)
1105961000006107,7000,
1071501000006100,7000,
292930000,7000,Macrolide adverse reaction (disorder)
1077631000006103,6900,
219075006,6900,Adverse reaction to vaccine product containing bacteria antigen (disorder)
1057221000006101,6800,
1033181000006104,6800,
1063011000006102,6800,
1035881000006107,6800,
1059021000006102,6800,
1050621000006103,6700,
1013381000006108,6700,
1013301000006104,6700,
241932006,6700,Wasp sting-induced anaphylaxis (disorder)
960721000006109,6700,
1070891000006104,6500,
170909007,6500,High risk drug side effect (finding)
292673007,6500,Colchicine adverse reaction (disorder)
1088311000006107,6500,
714332003,6400,Allergy to banana (finding)
1052521000006101,6400,
1014101000006104,6400,
1031601000006101,6400,
1664601000006103,6300,
267793005,6300,Contact dermatitis caused by oil and grease (disorder)
1014751000006101,6200,
1110001000006103,6200,
293417004,6200,Lipid-lowering drug adverse reaction (disorder)
292096006,6200,X-ray contrast media adverse reaction (disorder)
1056221000006103,6200,
1049551000006103,6100,
1083431000006102,6100,
1096401000006103,6100,
170563001,6000,Chronic disease - drug side effects (finding)
1013371000006105,6000,
1081471000006103,6000,
294592000,6000,Allergy to tetracycline (finding)
1070391000006106,6000,
1105911000006109,6000,
1062551000006100,6000,
1023431000006107,5900,
1071131000006104,5900,
1087091000006101,5900,
170926001,5800,Repeat prescription drug side effect (finding)
1106881000006104,5800,
1038601000006109,5800,
170681006,5800,Psychiatric drug side effects (finding)
1033921000006100,5800,
1034321000006104,5700,
1083221000006104,5700,
508831000000101,5700,Bisoprolol not tolerated (situation)
294532003,5700,Allergy to cephalosporin (finding)
200821000,5700,Contact dermatitis caused by plants (disorder)
1096391000006100,5700,
1025991000006104,5700,
1100791000006109,5700,
1116551000006108,5600,
292752003,5600,Penicillamine adverse reaction (disorder)
1016681000006109,5600,
1144321000006107,5500,
1142041000006106,5500,
292045009,5500,Opioid analgesic adverse reaction (disorder)
1041351000006105,5500,
14651005,5500,Drug-induced osteoporosis (disorder)
293365002,5400,Ferrous sulfate adverse reaction (disorder)
77560002,5400,Contact dermatitis caused by adhesive plaster (disorder)
23171000122102,5400,Allergy to kiwi fruit (finding)
1013261000006108,5300,
1087231000006105,5300,
1037011000006101,5300,
302322006,5300,Egg-free diet (finding)
293050008,5300,Lymecycline adverse reaction (disorder)
1021861000006101,5300,
1021081000006103,5300,
1048741000006104,5300,
1114521000006109,5300,
89731000000101,5300,History of clopidogrel allergy (situation)
293416008,5300,Drug groups primarily affecting cardiovascular system adverse reaction (disorder)
292360004,5200,Diazepam adverse reaction (disorder)
1101351000006108,5200,
1030121000006109,5200,
418949004,5200,Suxamethonium adverse reaction (disorder)
1029321000006100,5200,
1010131000006103,5200,
407563006,5200,Treatment not tolerated (situation)
1579131000006102,5200,
1059911000006106,5100,
1018891000006107,5100,
853841000006104,5100,
